source,title,description,details
reuters,"Asia shares rise for a third day, pound bewildered by politics","Asian shares rallied for a third session on Tuesday as hopes for upbeat corporate earnings buoyed Wall Street, while several high-profile resignations from Britain's government kept sterling on the defensive.",Asia shares rise third day pound bewildered politics Asian shares rallied third session Tuesday hopes upbeat corporate earnings buoyed Wall Street several high profile resignations Britains government kept sterling defensive
reuters,Rescuers gear up for final push to save remaining five from Thai cave,Rescuers resumed preparations on Tuesday for a third rescue operation deep into a cave complex in northern Thailand to free four remaining boys and their soccer coach in a race against time and monsoon weather.,Rescuers gear final push save remaining five Thai cave Rescuers resumed preparations Tuesday third rescue operation deep cave complex northern Thailand free four remaining boys soccer coach race time monsoon weather
reuters,Washington insider Kavanaugh boasts conservative credentials,"Brett Kavanaugh, the consummate Washington insider picked by President Donald Trump on Monday for a lifetime seat on the U.S. Supreme Court, has viewed business regulations with skepticism in his 12 years as a judge and taken conservative positions on some di…",Washington insider Kavanaugh boasts conservative credentials Brett Kavanaugh consummate Washington insider picked President Donald Trump Monday lifetime seat US Supreme Court viewed business regulations skepticism 12 years judge taken conservative positions di…
reuters,Judge rejects Trump request for long-term detention of immigrant children,"A U.S. federal judge on Monday rejected the Trump administration's request to allow long-term detention of illegal immigrant children, a setback for President Donald Trump's executive order to end the separation of immigrant families.",Judge rejects Trump request long term detention immigrant children US federal judge Monday rejected Trump administrations request allow long term detention illegal immigrant children setback President Donald Trumps executive order end separation immigrant families
reuters,"Do not blame OPEC, oil producer group says of Trump criticism","The president of OPEC defended the oil producer group on Monday against U.S. President Donald Trump’s recent demands for higher oil output, saying OPEC does not shoulder the blame.",blame OPEC oil producer group says Trump criticism president OPEC defended oil producer group Monday US President Donald Trump recent demands higher oil output saying OPEC shoulder blame
reuters,Trump picks conservative judge Kavanaugh for Supreme Court,"President Donald Trump on Monday announced Brett Kavanaugh as his nominee for the U.S. Supreme Court, picking a conservative federal appeals court judge who survived a previous tough Senate confirmation battle and helped investigate Democratic former Presiden…",Trump picks conservative judge Kavanaugh Supreme Court President Donald Trump Monday announced Brett Kavanaugh nominee US Supreme Court picking conservative federal appeals court judge survived previous tough Senate confirmation battle helped investigate Democratic former Presiden…
reuters,Euroskeptic British ministers quit in blow to May's Brexit plan,"Prime Minister Theresa May's foreign minister and Brexit negotiator quit on Monday in protest at her plans to keep close trade ties with the European Union after Britain leaves the bloc, stirring rebellion in her party's ranks.",Euroskeptic British ministers quit blow Mays Brexit plan Prime Minister Theresa Mays foreign minister Brexit negotiator quit Monday protest plans keep close trade ties European Union Britain leaves bloc stirring rebellion partys ranks
reuters,Trump picks conservative Kavanaugh as Supreme Court nominee: NBC,"U.S. President Donald Trump has chosen conservative federal appeals court Judge Brett Kavanaugh as his nominee for U.S. Supreme Court Justice, NBC News reported on Monday, just before the official White House announcement.",Trump picks conservative Kavanaugh Supreme Court nominee NBC US President Donald Trump chosen conservative federal appeals court Judge Brett Kavanaugh nominee US Supreme Court Justice NBC News reported Monday official White House announcement
reuters,"Turkey's Erdogan sworn in with new powers, names son-in-law finance minister","President Tayyip Erdogan appointed his son-in-law as Turkey's finance minister on Monday hours after he was sworn in with sweeping new executive powers, promising a ""strong government and a strong Turkey"".",Turkeys Erdogan sworn new powers names son law finance minister President Tayyip Erdogan appointed son law Turkeys finance minister Monday hours sworn sweeping new executive powers promising strong government strong Turkey
reuters,Factbox: Turkey's new cabinet under powerful executive presidency,"Following are the ministers and vice president in Turkey's new executive presidential system, announced by President Tayyip Erdogan at a news conference on Monday.",Factbox Turkeys new cabinet powerful executive presidency Following ministers vice president Turkeys new executive presidential system announced President Tayyip Erdogan news conference Monday
financial-times,Uighur children fall victim to China anti-terror drive,Thousands of children in Xinjiang placed in de facto orphanages after parents detained,Uighur children fall victim China anti terror drive Thousands children Xinjiang placed de facto orphanages parents detained
financial-times,China’s Belt and Road difficulties are proliferating across the world,Infrastructure project managers have been wrongfooted by local controversies,China Belt Road difficulties proliferating across world Infrastructure project managers wrongfooted local controversies
financial-times,Donald Trump’s court pick is a Republican stalwart,Brett Kavanaugh served in George W Bush White House and investigated Bill Clinton,Donald Trump court pick Republican stalwart Brett Kavanaugh served George W Bush White House investigated Bill Clinton
financial-times,Trump nominates conservative Kavanaugh to Supreme Court,Decision could cement conservative majority on America’s highest court,Trump nominates conservative Kavanaugh Supreme Court Decision could cement conservative majority America highest court
financial-times,Masayoshi Son seeks to convince world of SoftBank’s true worth,Billionaire hopes telecoms spin-off will help show investors his group is undervalued,Masayoshi Son seeks convince world SoftBank true worth Billionaire hopes telecoms spin help show investors group undervalued
financial-times,‘Big four’ paid millions to advise Brussels on tax policy,European Commission contracts fuel concerns over accounting firms’ conflicts of interest,Big four paid millions advise Brussels tax policy European Commission contracts fuel concerns accounting firms conflicts interest
financial-times,Erdogan names son-in-law to lead Turkey’s finance ministry,Berat Albayrak role unlikely to be welcomed by investors anxious over economy,Erdogan names son law lead Turkey finance ministry Berat Albayrak role unlikely welcomed investors anxious economy
financial-times,Theresa May now faces the second Battle of Brexit,The resignations of Johnson and Davis leave government fighting for an exit plan,Theresa May faces second Battle Brexit resignations Johnson Davis leave government fighting exit plan
financial-times,Trump hits out at Germany ahead of Nato summit,,Trump hits Germany ahead Nato summit None
financial-times,Boris Johnson quits as pressure on Theresa May mounts,Foreign secretary follows David Davis in resigning from cabinet,Boris Johnson quits pressure Theresa May mounts Foreign secretary follows David Davis resigning cabinet
the-economist,London has excellent universities—but unhappy students,Why are the capital’s undergraduates gloomier than those in other big cities?,London excellent universities—but unhappy students capital undergraduates gloomier big cities
the-economist,Our second week of essays on transgender identities,Why The Economist seeks to uphold the liberal value of open debate,second week essays transgender identities Economist seeks uphold liberal value open debate
the-economist,Jean-Louis Tauran opposed the Gulf war and mended fences with Islam,His fears for the Christian population of the Middle East proved well-founded,Jean Louis Tauran opposed Gulf war mended fences Islam fears Christian population Middle East proved well founded
the-economist,Why bitcoin uses so much energy,Its consumption is roughly the same as Ireland’s,bitcoin uses much energy consumption roughly Ireland
the-economist,Boris goes,The revolt gathers against Theresa May’s Brexit plans,Boris goes revolt gathers Theresa May Brexit plans
the-economist,Meet Dominic Raab: the new Brexit boss,A former housing minister takes over the Brexit negotiations after David Davis’s departure,Meet Dominic Raab new Brexit boss former housing minister takes Brexit negotiations David Davis departure
the-economist,A court with a solid conservative majority could reshape American life,Here’s how,court solid conservative majority could reshape American life
the-economist,North Korea presents nuclear disarmament’s biggest challenge yet,"Precedents, from Iraq to the former Soviet Union, offer only very limited lessons",North Korea presents nuclear disarmament biggest challenge yet Precedents Iraq former Soviet Union offer limited lessons
the-economist,Culture and the labour market keep India’s women at home,How can they be helped to return to the workforce?,Culture labour market keep India women home helped return workforce
the-economist,Our essay competitions for young people,"The Economist has launched the Open Future initiative to re-state the case for the values of classical liberalism—that is, political, economic and social freedom—to address the challenges of the 21st century.",essay competitions young people Economist launched Open Future initiative state case values classical liberalism—that political economic social freedom—to address challenges 21st century
the-wall-street-journal,"Trump’s Pick Brett Kavanaugh to Keep Republican-Appointed Majority on Supreme Court, 48 Years Running","Brett Kavanaugh’s nomination, if confirmed, will preserve the court's gender, racial and religious majorities",Trump Pick Brett Kavanaugh Keep Republican Appointed Majority Supreme Court 48 Years Running Brett Kavanaugh nomination confirmed preserve courts gender racial religious majorities
the-wall-street-journal,Judge Brett Kavanaugh: In His Own Words,"Judge Brett Kavanaugh has established a robust judicial record in his more than 12 years as a member of the U.S. Court of Appeals for the D.C. Circuit, often referred to as the second-most influential court in the country.",Judge Brett Kavanaugh Words Judge Brett Kavanaugh established robust judicial record 12 years member US Court Appeals DC Circuit often referred second influential court country
the-wall-street-journal,Brett Kavanaugh Has Shown Deep Skepticism of Regulatory State,"As an appellate judge in Washington, Brett Kavanaugh is known for ruling against regulators he sees as having overstepped their bounds.",Brett Kavanaugh Shown Deep Skepticism Regulatory State appellate judge Washington Brett Kavanaugh known ruling regulators sees overstepped bounds
the-wall-street-journal,Who Is Brett Kavanaugh?,"In nominating Judge Brett Kavanaugh for the Supreme Court, President Donald Trump selected a scion of the Republican legal establishment who has been in the middle of efforts to complete a judicial counterrevolution that has eluded conservatives for decades.",Brett Kavanaugh nominating Judge Brett Kavanaugh Supreme Court President Donald Trump selected scion Republican legal establishment middle efforts complete judicial counterrevolution eluded conservatives decades
the-wall-street-journal,President Trump Chooses Brett Kavanaugh for Supreme Court Vacancy,"President Donald Trump will nominate Brett Kavanaugh to fill the newest vacancy on the U.S. Supreme Court, choosing a conservative figure who, if confirmed, could push a divided court to the right after years of seesaw rulings.",President Trump Chooses Brett Kavanaugh Supreme Court Vacancy President Donald Trump nominate Brett Kavanaugh fill newest vacancy US Supreme Court choosing conservative figure confirmed could push divided court right years seesaw rulings
the-wall-street-journal,Outside Groups Plan Costly Campaigns For—or Against—Supreme Court Nominee Brett Kavanaugh,"President Trump’s announcement of his Supreme Court nominee Monday night will be the starting gun for a weekslong, multimillion-dollar campaign featuring ads on everything from the nominee’s personal record to the country’s future.",Outside Groups Plan Costly Campaigns For—or Against—Supreme Court Nominee Brett Kavanaugh President Trump announcement Supreme Court nominee Monday night starting gun weekslong multimillion dollar campaign featuring ads everything nominee personal record country future
the-wall-street-journal,Former Goldman Banker Is in Plea Talks Over Malaysian 1MDB Scandal,"A former Goldman Sachs banker is talking with U.S. prosecutors about potentially pleading guilty to charges stemming from alleged fraud at a Malaysian state investment fund, people familiar with the matter say.",Former Goldman Banker Plea Talks Malaysian 1MDB Scandal former Goldman Sachs banker talking US prosecutors potentially pleading guilty charges stemming alleged fraud Malaysian state investment fund people familiar matter say
the-wall-street-journal,Starbucks to Eliminate Plastic Straws by 2020,"Starbucks plans to phase out single-use plastic straws from its more than 28,000 company-operated and licensed stores by 2020 in an effort to reduce its global waste footprint.",Starbucks Eliminate Plastic Straws 2020 Starbucks plans phase single use plastic straws 28000 company operated licensed stores 2020 effort reduce global waste footprint
the-wall-street-journal,Resignations Over May’s Brexit Plan Throw U.K. Government Into Turmoil,The resignations of Foreign Secretary Boris Johnson and Brexit Secretary David Davis plunged Theresa May into a political crisis and increased the chances of a challenge to her party leadership.,Resignations May Brexit Plan Throw UK Government Turmoil resignations Foreign Secretary Boris Johnson Brexit Secretary David Davis plunged Theresa May political crisis increased chances challenge party leadership
the-wall-street-journal,"Divers Rescue Four More Boys From Thai Cave, Bringing Total to Eight",Rescue divers guided four more boys from a youth soccer team stranded along with their coach through the winding passages of the Tham Luang cave in northern Thailand.,Divers Rescue Four Boys Thai Cave Bringing Total Eight Rescue divers guided four boys youth soccer team stranded along coach winding passages Tham Luang cave northern Thailand
cnbc,Rescuers gear up for final push to save remaining five from Thai cave,Rescuers resumed preparations on Tuesday for a third rescue operation deep into a cave complex in northern Thailand to free four remaining boys and their soccer coach in a race against time and monsoon weather.,Rescuers gear final push save remaining five Thai cave Rescuers resumed preparations Tuesday third rescue operation deep cave complex northern Thailand free four remaining boys soccer coach race time monsoon weather
cnbc,"Companies are ditching plastic straws, but its alternative will cost you","More and more companies are announcing they are going to ditch plastic straws. But Adam Merran, CEO of PacknWood, a food service products distributor, says paper straws cost about ten times more than plastic ones.",Companies ditching plastic straws alternative cost companies announcing going ditch plastic straws Adam Merran CEO PacknWood food service products distributor says paper straws cost ten times plastic ones
cnbc,What you need to know about Trump’s Supreme Court nominee Brett Kavanaugh,Kavanaugh appears set to lay down mostly conservative rulings on issues that matter to Republicans.,need know Trump Supreme Court nominee Brett Kavanaugh Kavanaugh appears set lay mostly conservative rulings issues matter Republicans
cnbc,Microsoft's $399 Surface Go hits most of the right notes to compete with the iPad and Chromebooks,"Microsoft announced the new Surface Go on Tuesday, a cheaper $399 Surface laptop that will compete with Apple's iPad. CNBC's Todd Haselton got some hands-on time with the device.",Microsofts 399 Surface Go hits right notes compete iPad Chromebooks Microsoft announced new Surface Go Tuesday cheaper 399 Surface laptop compete Apples iPad CNBCs Todd Haselton got hands time device
cnbc,Trump picks Brett Kavanaugh for the Supreme Court: NBC News,Kavanaugh is a federal appeals court judge with extensive legal credentials and a lengthy political record.,Trump picks Brett Kavanaugh Supreme Court NBC News Kavanaugh federal appeals court judge extensive legal credentials lengthy political record
cnbc,Watch: Trump announces next Supreme Court nominee,Trump seeks to secure a five-member majority of conservative justices that could impact court rulings for years to come.,Watch Trump announces next Supreme Court nominee Trump seeks secure five member majority conservative justices could impact court rulings years come
cnbc,Trump invited these red-state Democrats to his Supreme Court announcement. They all said no,All of them could soon be targeted by pro-Trump  political action groups trying to unseat Democrats in the states Trump won in the 2016 presidential election.,Trump invited red state Democrats Supreme Court announcement said could soon targeted pro Trump political action groups trying unseat Democrats states Trump 2016 presidential election
cnbc,People are using Fitbits and Apple Watches to monitor their heart rate when binging on drugs — and doctors say it's a bad idea,Heart rate monitors on smartwatches are being used by some people while using illicit drugs.,People using Fitbits Apple Watches monitor heart rate binging drugs — doctors say bad idea Heart rate monitors smartwatches used people using illicit drugs
cnbc,These senators will make or break Trump's Supreme Court nominee,A handful of swing vote senators will get to decide whether Trump's nominee — likely a young conservative — will make it on the Supreme Court.,senators make break Trumps Supreme Court nominee handful swing vote senators get decide whether Trumps nominee — likely young conservative — make Supreme Court
cnbc,"US futures climb ahead of the open, as trade turmoil takes a breather","U.S. stock index futures posted solid gains ahead of Monday’s open, supported by positive trade overseas and a strong jobs report published Friday.",US futures climb ahead open trade turmoil takes breather US stock index futures posted solid gains ahead Monday open supported positive trade overseas strong jobs report published Friday
financial-post,CSA maps out higher-tech surveillance plan,"The securities watchdogs levelled about $69.4 million in fines and penalties last year, up from $62.1 million in 2016",CSA maps higher tech surveillance plan securities watchdogs levelled 694 million fines penalties last year 621 million 2016
financial-post,"Canadian broadcasting industry shrank in 2017, CRTC reports","Consumers are increasingly streaming video and music over the internet, and that means fewer people are watching live TV or listening to radio stations",Canadian broadcasting industry shrank 2017 CRTC reports Consumers increasingly streaming video music internet means fewer people watching live TV listening radio stations
financial-post,One billion share issuance weighs on Enbridge,"Given the company’s share price of $46.53 at close on Monday is down sharply from the peak of $65.85 in April 2015, some money managers are wondering whether it’s delivered value",One billion share issuance weighs Enbridge Given company share price 4653 close Monday sharply peak 6585 April 2015 money managers wondering whether delivered value
financial-post,Barrick forges closer ties with Chinese partner in bid to revive South American mine,Barrick’s deal with Shandong shows how Chinese companies have in recent years stepped up their involvement with Canadian mining companies,Barrick forges closer ties Chinese partner bid revive South American mine Barrick deal Shandong shows Chinese companies recent years stepped involvement Canadian mining companies
financial-post,Cannabis grower Tilray valued at up to US$1.5 billion for Nasdaq IPO,The Nanaimo-based producer is the last large Canadian marijuana company to go public,Cannabis grower Tilray valued US15 billion Nasdaq IPO Nanaimo based producer last large Canadian marijuana company go public
financial-post,Amazon as a value stock?: Why the $840-billion company’s shares are surprisingly cheap,Two facts make Amazon unique,Amazon value stock 840 billion company shares surprisingly cheap Two facts make Amazon unique
financial-post,"Greyhound Canada to end service in Prairies, B.C., eliminating 415 jobs — and leaving small towns in the lurch",Only Ontario and Quebec will keep Greyhound bus routes when the cancellations go into effect at the end of October,Greyhound Canada end service Prairies BC eliminating 415 jobs — leaving small towns lurch Ontario Quebec keep Greyhound bus routes cancellations go effect end October
financial-post,"American steaks, German cars emerge as early victims in U.S.-China trade war","For automobiles and whiskey makers to companies along the complex global supply chain that defines modern manufacturing, it is a moment of reckoning",American steaks German cars emerge early victims US China trade war automobiles whiskey makers companies along complex global supply chain defines modern manufacturing moment reckoning
financial-post,‘I would put money on it’: LNG Canada dreams closer to coming true as Shell ramps up in Kitimat,Hopes are rising that the $40-billion LNG terminal that could at last unlock Canada’s energy exports to Asia is about to get the green light,would put money LNG Canada dreams closer coming true Shell ramps Kitimat Hopes rising 40 billion LNG terminal could last unlock Canada energy exports Asia get green light
financial-post,TD Bank speeds up junior bankers’ promotions to attract and keep young talent,Banks are waging a war for talent as they face increased competition from tech companies,TD Bank speeds junior bankers promotions attract keep young talent Banks waging war talent face increased competition tech companies
business-insider,BARCLAYS: Here are the 4 biggest risks to the Netflix story (NFLX),BARCLAYS: Here are the 4 biggest risks to the Netflix story (NFLX),BARCLAYS 4 biggest risks Netflix story NFLX BARCLAYS 4 biggest risks Netflix story NFLX
business-insider,Trump nominates Brett Kavanaugh to replace the retiring Justice Anthony Kennedy on the Supreme Court,"President Donald Trump on Monday announced he is nominating Brett Kavanaugh to the Supreme Court, who, if confirmed, will take the place of the retiring Justice Anthony Kennedy.",Trump nominates Brett Kavanaugh replace retiring Justice Anthony Kennedy Supreme Court President Donald Trump Monday announced nominating Brett Kavanaugh Supreme Court confirmed take place retiring Justice Anthony Kennedy
business-insider,'This next year will ... feel like childbirth': HBO's new corporate overlord warns employees to expect a tough year,"Warner Media CEO John Stankey told HBO employees at a recent town-hall event to anticipate a tough year to come at the company, The New York Times reported.",next year feel like childbirth HBOs new corporate overlord warns employees expect tough year Warner Media CEO John Stankey told HBO employees recent town hall event anticipate tough year come company New York Times reported
business-insider,Amazon is increasingly tying Whole Foods to its Prime service – and it could be the gateway to $1 trillion,"BI PRIME: Amazon is creating a ""flywheel effect"" with by using Whole Foods to boost its Prime subscription service and vice versa, says GBH Insights analyst Daniel Ives. That's great for Amazon — but not such good news for its rivals.",Amazon increasingly tying Whole Foods Prime service – could gateway 1 trillion BI PRIME Amazon creating flywheel effect using Whole Foods boost Prime subscription service vice versa says GBH Insights analyst Daniel Ives Thats great Amazon — good news rivals
business-insider,Trump's Supreme Court pick weighed in on 2 thorny issues that could be pertinent to the president,"Kavanaugh co-authored the report that found grounds to impeach President Bill Clinton. But since then, the judge has said there shouldn't be investigations or indictments of a sitting president, and they should be deferred until he has left the Oval Office.",Trumps Supreme Court pick weighed 2 thorny issues could pertinent president Kavanaugh co authored report found grounds impeach President Bill Clinton since judge said shouldnt investigations indictments sitting president deferred left Oval Office
business-insider,BANK OF AMERICA: The stock market's most important driver will be more powerful than we'd expected — and one sector towers over the rest,"BI PRIME: Equity strategists at Bank of America Merrill Lynch raised their estimates for 2018 and 2019 earnings, placing one sector in the driver's seat of that revision. They see Q1 as the peak for earnings growth for this cycle but cautioned against selling…",BANK AMERICA stock markets important driver powerful wed expected — one sector towers rest BI PRIME Equity strategists Bank America Merrill Lynch raised estimates 2018 2019 earnings placing one sector drivers seat revision see Q1 peak earnings growth cycle cautioned selling…
business-insider,Expanding Warren Buffett’s value investing approach to the socially responsible sector,"""Social Value Investing"" was written by Columbia University's Bill Eimicke and his colleague, Warren Buffett's grandson, Howard Buffett. The framework for the book was inspired by Berkshire Hathaway and modeled after the company’s application of value investi…",Expanding Warren Buffett value investing approach socially responsible sector Social Value Investing written Columbia Universitys Bill Eimicke colleague Warren Buffetts grandson Howard Buffett framework book inspired Berkshire Hathaway modeled company application value investi…
business-insider,The cruel truth about how much money two founders will likely get after selling their startup for $465 million reveals the catch-22 of raising too much money,"FanDuel was valued at $1 billion just three years ago. Now, it's being sold for less than half that amount. And according to the deal documents, FanDuel's founders will likely lose out.",cruel truth much money two founders likely get selling startup 465 million reveals catch 22 raising much money FanDuel valued 1 billion three years ago sold less half amount according deal documents FanDuels founders likely lose
business-insider,'Either it happens or TV gets decimated': Insiders are split on AT&T's chances of building an ad platform for the entire TV industry,"BI PRIME: The advertising industry is still chewing over the finally closed AT&T-Time Warner merger and what it means for TV advertising. Some see AT&T's plan to build a central ad hub for TV ad space as futile, while others see such an initiative as vital to…",Either happens TV gets decimated Insiders split ATTs chances building ad platform entire TV industry BI PRIME advertising industry still chewing finally closed ATT Time Warner merger means TV advertising see ATTs plan build central ad hub TV ad space futile others see initiative vital to…
business-insider,"A former Facebook moderator says she had to review 8,000 posts a day and it made her numb to child porn",Sarah Katz described the pressure she was under to review thousands of posts a day from the darkest corners of Facebook. Her experience raises questions about Facebook's efforts to stamp out child exploitation on its platform.,former Facebook moderator says review 8000 posts day made numb child porn Sarah Katz described pressure review thousands posts day darkest corners Facebook experience raises questions Facebooks efforts stamp child exploitation platform
australian-financial-review,The conservative legal village that raised Brett Kavanaugh,"It almost doesn't even matter if Brett Kavanaugh is confirmed or shot down; there are dozens more who can fill the vacancy, just as smart and just as conservative.",conservative legal village raised Brett Kavanaugh almost doesnt even matter Brett Kavanaugh confirmed shot dozens fill vacancy smart conservative
australian-financial-review,Telstra says shock departure of network boss Mike Wright won't affect 5G plans,"Telstra says its 5G plans remain on track despite the departure of networks boss Mike Wright, who has unexpectedly announced he will leave after almost 40 years.",Telstra says shock departure network boss Mike Wright wont affect 5G plans Telstra says 5G plans remain track despite departure networks boss Mike Wright unexpectedly announced leave almost 40 years
australian-financial-review,Lenders blitz borrowers in cut-throat pricing battle to grab market share,"Property lenders are blitzing borrowers with a new round of rate and price moves to try to build market share and maintain profits despite increasing funding costs, tougher regulations and falling demand.",Lenders blitz borrowers cut throat pricing battle grab market share Property lenders blitzing borrowers new round rate price moves try build market share maintain profits despite increasing funding costs tougher regulations falling demand
australian-financial-review,Village Roadshow wants to put Dreamworld disaster behind it with capital raising,"In the last four years, Village Roadshow has lost three quarters of its market value. But the company hopes a capital raising can end its Dreamworld nightmare.",Village Roadshow wants put Dreamworld disaster behind capital raising last four years Village Roadshow lost three quarters market value company hopes capital raising end Dreamworld nightmare
australian-financial-review,Data helps property investors identify gentrification before it happens,"Despite the views of some people, all property will not always increase in value. Searching for the next up-and-coming suburbs can be a risky exercise, but it has the potential to pay dividends.",Data helps property investors identify gentrification happens Despite views people property always increase value Searching next coming suburbs risky exercise potential pay dividends
australian-financial-review,Markets Live: ASX set to advance on commodities,The Australian sharemarket is set to rise further this morning following an overnight advance in commodity prices.,Markets Live ASX set advance commodities Australian sharemarket set rise morning following overnight advance commodity prices
australian-financial-review,All eyes on big four after Macquarie Bank lifts rates,"Macquarie has joined the ranks of lenders lifting their variable mortgage rates, turning the spotlight to the big four banks and how they may manoeuvre to protect profit margins.",eyes big four Macquarie Bank lifts rates Macquarie joined ranks lenders lifting variable mortgage rates turning spotlight big four banks may manoeuvre protect profit margins
australian-financial-review,The biggest risks for property investors (and why you might prefer shares),Direct real estate investment involves responsibilities that aren't present with shares or bonds.,biggest risks property investors might prefer shares Direct real estate investment involves responsibilities arent present shares bonds
australian-financial-review,Mornington Peninsula lays on its winter best for a cosy weekend escape,Victoria's premier summer playground has another kind of charm when the chill sets in.,Mornington Peninsula lays winter best cosy weekend escape Victorias premier summer playground another kind charm chill sets
australian-financial-review,Shares help turn wage slaves into Rich Bosses,ASX executives who want to make the jump from wage slave to the Financial Review Rich Bosses list need to be willing to take some short-term pain for long-term gain.,Shares help turn wage slaves Rich Bosses ASX executives want make jump wage slave Financial Review Rich Bosses list need willing take short term pain long term gain
google-news,Prosecutor who reportedly suggested Maxine Waters be shot is placed on leave,"A California prosecutor is the subject of an internal investigation, after reportedly targeting Rep. Maxine Waters, former first lady Michelle Obama, immigrants and Mexicans in comments on social media.",Prosecutor reportedly suggested Maxine Waters shot placed leave California prosecutor subject internal investigation reportedly targeting Rep Maxine Waters former first lady Michelle Obama immigrants Mexicans comments social media
google-news,Brett Kavanaugh is nominated by Trump to succeed Supreme Court Justice Anthony M. Kennedy,"If confirmed, the former Kennedy clerk who serves on the U.S. Court of Appeals for the District of Columbia Circuit could allow President Trump to solidify a more conservative majority on the Supreme Court.",Brett Kavanaugh nominated Trump succeed Supreme Court Justice Anthony Kennedy confirmed former Kennedy clerk serves US Court Appeals District Columbia Circuit could allow President Trump solidify conservative majority Supreme Court
google-news,PM to meet new cabinet amid Brexit turmoil,Theresa May is forced to carry out a reshuffle after a string of resignations over her Brexit strategy.,PM meet new cabinet amid Brexit turmoil Theresa May forced carry reshuffle string resignations Brexit strategy
google-news,Baby survived 9 hours buried in Montana mountains,"Francis Carlton Crowley, 32, was charged with criminal endangerment.",Baby survived 9 hours buried Montana mountains Francis Carlton Crowley 32 charged criminal endangerment
google-news,Thai cave rescue: Divers prepare to resume phase 3  -- live updates,The head of the rescue mission says their plan is based on bringing four people out each day,Thai cave rescue Divers prepare resume phase 3 live updates head rescue mission says plan based bringing four people day
google-news,More than 50 separated children to be reunited with parents Tuesday,"Justice Department lawyers say more than half of children 4 and younger will be returned to their parents by Tuesday, while it won’t meet the deadline for 40 others.",50 separated children reunited parents Tuesday Justice Department lawyers say half children 4 younger returned parents Tuesday meet deadline 40 others
google-news,"El Paso cop pulls gun on group of children, arrests cameraman",An El Paso police officer is being investigated after video showing him threatening a group of children with a gun went viral.,El Paso cop pulls gun group children arrests cameraman El Paso police officer investigated video showing threatening group children gun went viral
google-news,"Elderly Hispanic man bashed with brick, told 'go back to your country'","An elderly Hispanic man in California was beaten to a pulp with a brick and told to “go back to your country,” according to reports. Rodolfo Rodriguez, 92, was walking around his Los An…",Elderly Hispanic man bashed brick told go back country elderly Hispanic man California beaten pulp brick told “go back country” according reports Rodolfo Rodriguez 92 walking around Los An…
